time,header,pose
2022/10/11 14:15:50.536578111,"{'stamp': {'secs': 1665490550, 'nsecs': 532797294}, 'frame_id': 'map'}","{'position': {'x': -0.010744200088083744, 'y': -0.00038226385368034244, 'z': -0.10809411108493805}, 'orientation': {'x': 0.006726119570991601, 'y': -0.0027856707630000504, 'z': 0.010410566610130456, 'w': -0.9999193559645276}}"
2022/10/11 14:15:50.576801940,"{'stamp': {'secs': 1665490550, 'nsecs': 563260753}, 'frame_id': 'map'}","{'position': {'x': -0.010060956701636314, 'y': -0.00023985507141333073, 'z': -0.10813285410404205}, 'orientation': {'x': 0.006719855001723288, 'y': -0.0027895171568350506, 'z': 0.010422452021410566, 'w': -0.9999192716708305}}"
2022/10/11 14:15:50.600814820,"{'stamp': {'secs': 1665490550, 'nsecs': 599527986}, 'frame_id': 'map'}","{'position': {'x': -0.009580178186297417, 'y': -0.00010134789772564545, 'z': -0.10835874080657959}, 'orientation': {'x': 0.00671524239135325, 'y': -0.002852744838227106, 'z': 0.01043657121566166, 'w': -0.9999189766428911}}"
2022/10/11 14:15:50.636967375,"{'stamp': {'secs': 1665490550, 'nsecs': 632890440}, 'frame_id': 'map'}","{'position': {'x': -0.009237405844032764, 'y': 8.869785960996523e-05, 'z': -0.10891681164503098}, 'orientation': {'x': 0.0067173303067158095, 'y': -0.0028345601194559255, 'z': 0.010458614017432866, 'w': -0.9999187659086484}}"
2022/10/11 14:15:50.663354792,"{'stamp': {'secs': 1665490550, 'nsecs': 661423340}, 'frame_id': 'map'}","{'position': {'x': -0.009165884926915169, 'y': 0.0002039958053501323, 'z': -0.10941682755947113}, 'orientation': {'x': 0.006711890399807618, 'y': -0.00286951006431133, 'z': 0.010454483626278877, 'w': -0.9999187659086485}}"
2022/10/11 14:15:50.697724761,"{'stamp': {'secs': 1665490550, 'nsecs': 696083648}, 'frame_id': 'map'}","{'position': {'x': -0.009233715012669563, 'y': 0.00040255056228488684, 'z': -0.11038704216480255}, 'orientation': {'x': 0.006702092739253978, 'y': -0.002890564884684427, 'z': 0.010465399660043118, 'w': -0.999918639468103}}"
2022/10/11 14:15:50.728170753,"{'stamp': {'secs': 1665490550, 'nsecs': 726537474}, 'frame_id': 'map'}","{'position': {'x': -0.009451916441321373, 'y': 0.0005574887036345899, 'z': -0.11135876923799515}, 'orientation': {'x': 0.006700448353617545, 'y': -0.00289889810688844, 'z': 0.010495787537819545, 'w': -0.9999183444401634}}"
2022/10/11 14:15:50.759161615,"{'stamp': {'secs': 1665490550, 'nsecs': 757015842}, 'frame_id': 'map'}","{'position': {'x': -0.009812158532440662, 'y': 0.0007180965621955693, 'z': -0.11221760511398315}, 'orientation': {'x': 0.006708734160616984, 'y': -0.0028908684737026067, 'z': 0.010499159285700388, 'w': -0.9999182601464662}}"
2022/10/11 14:15:50.804149964,"{'stamp': {'secs': 1665490550, 'nsecs': 802406787}, 'frame_id': 'map'}","{'position': {'x': -0.010300432331860065, 'y': 0.0008912413031794131, 'z': -0.11338455975055695}, 'orientation': {'x': 0.006710854509296561, 'y': -0.0029130306366658763, 'z': 0.010494607426061231, 'w': -0.9999181758527693}}"
2022/10/11 14:15:50.836080692,"{'stamp': {'secs': 1665490550, 'nsecs': 835107898}, 'frame_id': 'map'}","{'position': {'x': -0.010890333913266659, 'y': 0.0010805409401655197, 'z': -0.11427175998687744}, 'orientation': {'x': 0.006691184114115372, 'y': -0.002918046440910927, 'z': 0.010463713786102669, 'w': -0.999918639468103}}"
